date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:00	12069/12069	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jun%202018%2005:10:59%20GMT	https://diabatonic.azurewebsites.net/Default.aspx	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Default.html	(from )
10:41:01	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:00%20GMT	https://diabatonic.azurewebsites.net/robots.txt		(from )
10:41:03	148940/148940	---M-Z	200	added ('OK')	text/css	etag:%229ac4214c7d4d41:0%22	https://diabatonic.azurewebsites.net/CSS/bootstrap.css	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/bootstrap.css	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:04	1574/1574	---M-Z	200	added ('OK')	text/css	etag:%224289264c7d4d41:0%22	https://diabatonic.azurewebsites.net/CSS/jumbotron-narrow.css	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/jumbotron-narrow.css	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:05	3512/3512	---M-Z	200	added ('OK')	text/css	etag:%22a5ec284c7d4d41:0%22	https://diabatonic.azurewebsites.net/CSS/master.css	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/master.css	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:07	84349/84349	---M-Z	200	added ('OK')	application/x-javascript	etag:%2262d3bc4c7d4d41:0%22	https://diabatonic.azurewebsites.net/Scripts/jquery-2.1.4.min.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Scripts/jquery-2.1.4.min.js	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:08	35957/35957	---M-Z	200	added ('OK')	application/x-javascript	etag:%226ceb84c7d4d41:0%22	https://diabatonic.azurewebsites.net/Scripts/bootstrap.min.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Scripts/bootstrap.min.js	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Jun%202018%2005:11:07%20GMT	http://d3js.org/d3.v3.min.js	C:/Users/user1/Desktop/diabatonic1/d3js.org/d3.v3.min.6.delayed	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:09	151725/151725	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2012%20Jun%202018%2022:05:34%20GMT	https://d3js.org/d3.v3.min.js	C:/Users/user1/Desktop/diabatonic1/d3js.org/d3.v3.min.js	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:10	25582/25582	---M-Z	200	added ('OK')	text/css	etag:%22de26244c7d4d41:0%22	https://diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:11	1678/1678	---M-Z	200	added ('OK')	text/css	etag:%22fa12304c7d4d41:0%22	https://diabatonic.azurewebsites.net/CSS/sliderIE.css	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/sliderIE.css	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:12	3952/3952	---M-Z	200	added ('OK')	text/css	etag:%22a5ec284c7d4d41:0%22	https://diabatonic.azurewebsites.net/CSS/sliderHTML.css	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/sliderHTML.css	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:13	962/962	---M-Z	200	added ('OK')	application/x-javascript	etag:%229821cb4c7d4d41:0%22	https://diabatonic.azurewebsites.net/Scripts/sliderIE.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Scripts/sliderIE.js	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:15	246/246	---M-Z	200	added ('OK')	application/x-javascript	etag:%229821cb4c7d4d41:0%22	https://diabatonic.azurewebsites.net/Scripts/sliderHTML.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Scripts/sliderHTML.js	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:17	899/899	---M-Z	200	added ('OK')	application/x-javascript	etag:%226bfc84c7d4d41:0%22	https://diabatonic.azurewebsites.net/Scripts/master.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Scripts/master.js	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:17	447481/447481	---MCZ	200	added ('OK')	application/x-javascript	etag:%22d7fac34c7d4d41:0%22	https://diabatonic.azurewebsites.net/Scripts/jquery-ui.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Scripts/jquery-ui.js	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:18	2708/2708	---M--	200	added ('OK')	image/png	etag:%228e4ab34c7d4d41:0%22	https://diabatonic.azurewebsites.net/Resources/azure-ml.png	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Resources/azure-ml.png	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:19	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:18%20GMT	https://diabatonic.azurewebsites.net/Scripts/js/ie10-viewport-bug-workaround.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Scripts/js/ie10-viewport-bug-workaround.10.delayed	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:20	12057/12057	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jun%202018%2005:11:19%20GMT	https://diabatonic.azurewebsites.net/	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/index.html	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:21	2971/2971	---M-Z	200	added ('OK')	application/x-javascript	etag:%228a83cd4c7d4d41:0%22	https://diabatonic.azurewebsites.net/Scripts/wheels.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Scripts/wheels.js	(from https://diabatonic.azurewebsites.net/Default.aspx)
10:41:22	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%2290a9f34c7d4d41:0%22	https://diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.eot	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.eot	(from https://diabatonic.azurewebsites.net/CSS/bootstrap.css)
10:41:24	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%2290a9f34c7d4d41:0%22	https://diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.eot?	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regulard41d.eot	(from https://diabatonic.azurewebsites.net/CSS/bootstrap.css)
10:41:25	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:25%20GMT	https://diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.woff2	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.14.delayed	(from https://diabatonic.azurewebsites.net/CSS/bootstrap.css)
10:41:27	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:26%20GMT	https://diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.woff	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.15.delayed	(from https://diabatonic.azurewebsites.net/CSS/bootstrap.css)
10:41:29	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%222533fd4c7d4d41:0%22	https://diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.ttf	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.ttf	(from https://diabatonic.azurewebsites.net/CSS/bootstrap.css)
10:41:31	109025/109025	---M--	200	added ('OK')	image/svg+xml	etag:%22d3bf64c7d4d41:0%22	https://diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.svg	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/fonts/glyphicons-halflings-regular.svg	(from https://diabatonic.azurewebsites.net/CSS/bootstrap.css)
10:41:31	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:31%20GMT	https://diabatonic.azurewebsites.net/Popover%20requires%20tooltip.js	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/Popover%20requires%20tooltip.18.delayed	(from https://diabatonic.azurewebsites.net/Scripts/bootstrap.min.js)
10:41:32	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:31%20GMT	https://diabatonic.azurewebsites.net/CSS/images/animated-overlay.gif	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/images/animated-overlay.19.delayed	(from https://diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css)
10:41:34	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:32%20GMT	https://diabatonic.azurewebsites.net/CSS/images/ui-bg_flat_75_ffffff_40x100.png	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/images/ui-bg_flat_75_ffffff_40x100.1a.delayed	(from https://diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css)
10:41:35	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:35%20GMT	https://diabatonic.azurewebsites.net/CSS/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/images/ui-bg_highlight-soft_75_cccccc_1x100.1b.delayed	(from https://diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css)
10:41:36	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:36%20GMT	https://diabatonic.azurewebsites.net/CSS/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/images/ui-bg_glass_75_e6e6e6_1x400.1c.delayed	(from https://diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css)
10:41:37	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:36%20GMT	https://diabatonic.azurewebsites.net/CSS/images/ui-bg_glass_75_dadada_1x400.png	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/images/ui-bg_glass_75_dadada_1x400.1d.delayed	(from https://diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css)
10:41:38	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:38%20GMT	https://diabatonic.azurewebsites.net/CSS/images/ui-bg_glass_65_ffffff_1x400.png	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/images/ui-bg_glass_65_ffffff_1x400.1e.delayed	(from https://diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css)
10:41:40	103/103	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jun%202018%2005:11:39%20GMT	https://diabatonic.azurewebsites.net/CSS/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Users/user1/Desktop/diabatonic1/diabatonic.azurewebsites.net/CSS/images/ui-bg_glass_55_fbf9ee_1x400.1f.delayed	(from https://diabatonic.azurewebsites.net/CSS/jquery-ui-1.10.0.custom.min.css)
